Name_raw,Name,Validity,Note,Street,Postal Code,City,Address,Location_latitude,Location_longitude,Category_Name,Website,Contact_Phone,Contact_Email_ID,Contact_Facebook,Contact_Instagram,Opening_Hours_0_day,Opening_Hours_0_hours,Opening_Hours_1_day,Opening_Hours_1_hours,Opening_Hours_2_day,Opening_Hours_2_hours,Opening_Hours_3_day,Opening_Hours_3_hours,Opening_Hours_4_day,Opening_Hours_4_hours,Opening_Hours_5_day,Opening_Hours_5_hours,Opening_Hours_6_day,Opening_Hours_6_hours,permanentlyClosed
Caf,Caf,INVALID,,Frauenried 16,71638,Ludwigsburg,"Frauenried 16, 71638, Ludwigsburg, Germany",48.8786973,9.2191017,Hindu temple,,,,,,,,,,,,,,,,,,,,FALSE
Chetna Shakti Mandir,Chetna Shakti Mandir,,,Steinstraße 12,45128,Essen,"Steinstraße 12, 45128, Essen, Germany",51.446187,7.015777,Hindu temple,https://www.instagram.com/chetnashakti_mandir/,,,,https://www.instagram.com/chetnashakti_mandir/,,,,,,,,,,,,,,,FALSE
Cultural association Afghan Hindus in Germany E.V,Cultural Association Afghan Hindus In Germany e.V.,INVALID,,Burggrafenstraße 10,45139,Essen,"Burggrafenstraße 10, 45139, Essen, Germany",51.46222,7.02891,Hindu temple,,+49 201 2487220,,,,Monday,"10 AM to 12 PM, 3 to 6 PM",Tuesday,"10 AM to 12 PM, 3 to 6 PM",Wednesday,"10 AM to 12 PM, 3 to 6 PM",Thursday,"10 AM to 12 PM, 3 to 6 PM",Friday,"10 AM to 12 PM, 3 to 6 PM",Saturday,3 to 6 PM,Sunday,10 AM to 6 PM,FALSE
Die WG,Die Wg,INVALID,,Fuststraße 15,55116,Mainz,"Fuststraße 15, 55116, Mainz, Germany",49.9993938,8.270055,Hindu temple,,,,,,,,,,,,,,,,,,,,FALSE
Dommert und Werner Handels + Dienstleistungs UG haftungsbeschränkt,Dommert Und Werner Handels + Dienstleistungs Ug Haftungsbeschränkt,INVALID,,Kleine Weihergärten 4,35619,Braunfels,"Kleine Weihergärten 4, 35619, Braunfels, Germany",50.50442,8.42742,Hindu temple,,+49 6442 927670,,,,,,,,,,,,,,,,,,FALSE
Ganesha Tempel Bad Meinberg,Ganesha Tempel Bad Meinberg,,,Yogaweg 1,32805,Horn-Bad Meinberg,"Yogaweg 1, 32805, Horn-Bad Meinberg, Germany",51.900169,8.991173,Hindu temple,https://www.yoga-vidya.de/,+49 5234 870,badmeinberg@yoga-vidya.de,https://www.facebook.com/YogaVidya,https://www.instagram.com/yogavidya_de,,,,,,,,,,,,,,,FALSE
"Ganesh Temple Frankfurt am Main
(Sri Katpaka Vinayagar Temple Frankfurt )","Ganesha Temple
(Sri Katpaka Vinayagar Temple)",,,Intzestraße 26,60314,Frankfurt am Main,"Intzestraße 26, 60314, Frankfurt am Main, Germany",50.114758,8.729863,Hindu temple,,+49 6948001800,sasikaran23@gmail.com,https://www.facebook.com/SriKatpakaVinayagarTempleFrankfurt/,,Monday,6 PM to 7 PM,Tuesday,6 PM to 7 PM,Wednesday,6 PM to 7 PM,Thursday,6 PM to 7 PM,Friday,6 PM to 7 PM,Saturday,6 PM to 7.30 PM,Sunday,6 PM to 7.30 PM,FALSE
Goloka Dhama club e.V.,Goloka Dhama Club e.V.,,,Böckingstraße 4A,55767,Abentheuer,"Böckingstraße 4A, 55767, Abentheuer, Germany",49.660795,7.08701,Hindu temple,https://www.goloka-dhama.de/english/,+49 6782 2214,,https://www.facebook.com/GolokaDhama,https://www.instagram.com/golokadhama,Monday,4:30 AM to 7:30 PM,Tuesday,4:30 AM to 7:30 PM,Wednesday,4:30 AM to 7:30 PM,Thursday,4:30 AM to 7:30 PM,Friday,4:30 AM to 7:30 PM,Saturday,4:30 AM to 7:30 PM,Sunday,4:30 AM to 7:30 PM,FALSE
Großsteinberg Ortschronist,Großsteinberg Ortschronist,INVALID,,Nordstraße 1a,4668,Parthenstein,"Nordstraße 1a, 4668, Parthenstein, Germany",51.253193,12.6348457,Hindu temple,http://steynberc.de/,,chronik@steynberc.de,,,,,,,,,,,,,,,,,FALSE
Hanuman Mandir,Hanuman Mandir,,a part of Bhakthi Marg,Am Geisberg 2,65321,Heidenrod,"Am Geisberg 2, 65321, Heidenrod, Germany",50.144714,7.991925,Hindu temple,https://www.bhaktimarga.org/,+49 61246091125,"rezeption@bmsvd.net, willkommen@bhaktimarga.de, registration@bhaktimarga.org","https://www.facebook.com/ShreePeethaNilaya, https://www.facebook.com/bhaktimargadeutschland","https://www.instagram.com/bhaktimarga_deutschland, https://www.instagram.com/srivitthaldham",Monday,7 AM to 9 PM,Tuesday,7 AM to 9 PM,Wednesday,7 AM to 9 PM,Thursday,7 AM to 9 PM,Friday,7 AM to 9 PM,Saturday,7 AM to 9 PM,Sunday,7 AM to 9 PM,FALSE
Hari om Mandir,Hari Om Mandir,,,Wikingerstraße 62,51107,Köln-Kalk,"Wikingerstraße 62, 51107, Köln-Kalk, Germany",50.91836,7.070601,Hindu temple,http://www.ahg-koeln.de/,+49 221 8300009,info@ahg-koeln.de,https://www.facebook.com/mandirkoeln/?locale=de_DE,,Monday,10 AM to 6 PM,Tuesday,10 AM to 6 PM,Wednesday,1 PM to 6 PM,Thursday,Closed,Friday,1 PM to 6 PM,Saturday,Closed,Sunday,10 AM to 6 PM,FALSE
Hari Om Mandir,Hari Om Mandir,,,Bunsenstraße 200,34127,Kassel,"Bunsenstraße 200, 34127, Kassel, Germany",51.341844,9.482048,Hindu temple,,,,https://www.facebook.com/hariommandir.kassel/,,Monday,Closed,Tuesday,Closed,Wednesday,Closed,Thursday,Closed,Friday,Closed,Saturday,Closed,Sunday,12 PM to 6 PM,FALSE
Hari Om Mandir Frankfurt (HCC e.V.),Hari Om Mandir (Hcc e.V.),,,Morsestraße 32,60486,Frankfurt am Main,"Morsestraße 32, 60486, Frankfurt am Main, Germany",50.119564,8.625398,Hindu temple,https://hariommandirfrankfurt.com/,+49 177 2795436,,,,Monday,10 AM to 7 PM,Tuesday,10 AM to 7 PM,Wednesday,10 AM to 7 PM,Thursday,10 AM to 7 PM,Friday,10 AM to 7 PM,Saturday,10 AM to 7 PM,Sunday,11 AM to 7 PM,FALSE
Hari Om Temple,Hari Om Temple,,"Open only on Sundays, 
12:30 PM kirtan
14:30 PM Aarti",Kästlenstraße 32,81827,Munich,"Kästlenstraße 32, 81827, Munich, Germany",48.115177,11.695007,Hindu temple,https://hariomtemple.de/,"+49 17637543499
+49 17626648218",,https://www.facebook.com/Rajkharabanda/,,Monday,Closed,Tuesday,Closed,Wednesday,Closed,Thursday,Closed,Friday,Closed,Saturday,Closed,Sunday,11 AM to 4:30 PM,FALSE
Heilbronn Kanthasamy Kovil e. V.,Heilbronn Kanthasamy Kovil e.V.,,,Siemensstraße 11,74177,Bad Friedrichshall,"Siemensstraße 11, 74177, Bad Friedrichshall, Germany",49.235585,9.217652,Hindu temple,,07136 2706244,heilbronn.kanthasamykovil@gmail.com,https://www.facebook.com/p/Heilbronn-Kanthasamy-Kovil-eV-61550953688014/,,Monday,5 PM to 7 PM,Tuesday,5 PM to 8 PM,Wednesday,5 PM to 6 PM,Thursday,5 PM to 6 PM,Friday,5 PM to 8 PM,Saturday,5 PM to 6 PM,Sunday,5 PM to 6 PM,FALSE
Heiliger Tempel des Manus,Heiliger Tempel Des Manus,UNSURE,,Mühlenstraße 180,45473,Mülheim,"Mühlenstraße 180, 45473, Mülheim, Germany",51.4517778,6.9001424,Hindu temple,,,,,,,,,,,,,,,,,,,,FALSE
Hindu Mandir Lübeck,Hindu Mandir,,,Brolingstraße 51,23554,Lübeck,"Brolingstraße 51, 23554, Lübeck, Germany",53.877785,10.675355,Hindu temple,,+49 172 8949915,,,,Monday,11 AM to 3 PM,Tuesday,Closed,Wednesday,Closed,Thursday,Closed,Friday,Closed,Saturday,11 AM to 3 PM,Sunday,10:30 AM to 5 PM,FALSE
Hindu Temple Hamburg,Hindu Temple,,,Billstraße 77,20539,Hamburg,"Billstraße 77, 20539, Hamburg, Germany",53.54148,10.04031,Hindu temple,https://www.hindutempel.eu/,+49 40 78079292,"info@hindutempel.eu, vorstand@hindutempel.eu, hindutempelhamburg@gmx.de",,,Monday,10 AM to 6 PM,Tuesday,10 AM to 6 PM,Wednesday,10 AM to 6 PM,Thursday,10 AM to 6 PM,Friday,10 AM to 6 PM,Saturday,10 AM to 6 PM,Sunday,10 AM to 6 PM,FALSE
Hindugemeinde e.V.,Hindugemeinde e.V.,,,Kopenhagener Straße 34,13407,Berlin,"Kopenhagener Straße 34, 13407, Berlin, Germany",52.576555,13.360951,Hindu temple,http://www.hindu-gemeinde.de/,+49 30 28096894,,,,Monday,8 AM to 5 PM,Tuesday,8 AM to 5 PM,Wednesday,8 AM to 5 PM,Thursday,8 AM to 5 PM,Friday,8 AM to 5 PM,Saturday,8 AM to 5 PM,Sunday,Closed,FALSE
Hindu-Tempel,Hindu-Tempel,INVALID,,Lettestraße 6,10437,Berlin,"Lettestraße 6, 10437, Berlin, Germany",52.5435262,13.4190907,Hindu temple,,,,,,,,,,,,,,,,,,,,FALSE
ISKCON Bad Oeynhausen,Iskcon,,,Zur Lutternschen Egge 85,32549,Bad Oeynhausen,"Zur Lutternschen Egge 85, 32549, Bad Oeynhausen, Germany",52.259404,8.80488,Hindu temple,https://govardhanadesh.de/,+49 176 58880236,kontakt@govardhanadesh.de,"https://www.facebook.com/IskconBadOeynhausen, https://www.facebook.com/iskconBadOeynhausen",,Monday,Closed,Tuesday,Closed,Wednesday,Closed,Thursday,Closed,Friday,Closed,Saturday,Closed,Sunday,12:30 PM to 6 PM,FALSE
ISKCON Wiesbaden,Iskcon,,,Aarstraße 8,65329,Hohenstein,"Aarstraße 8, 65329, Hohenstein, Germany",50.197593,8.057995,Religious organization,http://iskconwiesbaden.de/,+49 6120 904107,"iskcon.wiesbaden@gmail.com, iskconwiesbaden@pamho.net","facebook.com/HariNamaDesh, https://www.facebook.com/HariNamaDesh",https://www.instagram.com/iskcon.wiesbaden,Monday,Closed,Tuesday,Closed,Wednesday,Closed,Thursday,Closed,Friday,Closed,Saturday,3 PM to 8 PM,Sunday,Closed,FALSE
ISKCON Koln e.V. Bhakti Yoga Zentrum Gauradesh,Iskcon e.V. Bhakti Yoga Zentrum Gauradesh,,,Taunusstraße 40,51105,Köln-Kalk,"Taunusstraße 40, 51105, Köln-Kalk, Germany",50.931733,6.99622,Hindu temple,http://www.gauradesh.com/,+49 178 9213621,kontakt@gauradesh.com,https://www.facebook.com/BhaktiYogaZentrumGauradesh,,Monday,7 AM to 7 PM,Tuesday,7 AM to 7 PM,Wednesday,7 AM to 7 PM,Thursday,7 AM to 7 PM,Friday,7 AM to 7 PM,Saturday,7 AM to 7 PM,Sunday,7 AM to 7 PM,FALSE
ISKCON Jandelsbrunn Simhachalam Temple,Iskcon Simhachalam Temple,,,Zielberg 20,94118,Jandelsbrunn,"Zielberg 20, 94118, Jandelsbrunn, Germany",48.743048,13.706136,Hindu temple,http://www.simhachalam.de/,+49 8583 316,"info@simhachalam.de, reservation.simhachalam@gmail.com",facebook.com/Simhachalam.de,https://www.instagram.com/simhachalam.de,Monday,4:30 AM to 7 PM,Tuesday,4:30 AM to 7 PM,Wednesday,4:30 AM to 7 PM,Thursday,4:30 AM to 7 PM,Friday,4:30 AM to 7 PM,Saturday,4:30 AM to 7 PM,Sunday,4:30 AM to 7 PM,FALSE
ISKCON Temple Offenbach,Iskcon Temple,,,Kaiserstraße 26,63065,Offenbach,"Kaiserstraße 26, 63065, Offenbach, Germany",50.102967,8.759197,Hindu temple,https://iskcon-frankfurt.de/,+49 1523 3648790,info@iskcon-frankfurt.de,https://www.facebook.com/iskcon.offenbach,https://www.instagram.com/iskcon_offenbach_frankfurt,Monday,Closed,Tuesday,Closed,Wednesday,Closed,Thursday,Closed,Friday,Closed,Saturday,Closed,Sunday,10 AM to 5 PM,FALSE
Jagannatha Temple ISKCON,Jagannatha Temple Iskcon,,,Berliner Allee 209,13088,Berlin,"Berliner Allee 209, 13088, Berlin, Germany",52.55691,13.466564,Hindu temple,http://tempelberlin.de/,,,,,Monday,Closed,Tuesday,Closed,Wednesday,6:30 to 8 PM,Thursday,Closed,Friday,Closed,Saturday,"7:30 to 10 AM, 2 to 7 PM",Sunday,7:30 AM to 10 AM,FALSE
Jyoti Maiyya Hindu Temple,Jyoti Maiyya Hindu Temple,,,Volksparkstraße 81,22525,Hamburg,"Volksparkstraße 81, 22525, Hamburg, Germany",53.58979,9.91881,Hindu temple,https://www.jyoti-maiyya-tempel.de/index.php, 040- 65916050,info@jyoti-maiyya-tempel.de,,,Monday,12 PM to 6 PM,Tuesday,12 PM to 6 PM,Wednesday,Closed,Thursday,12 PM to 6 PM,Friday,12 PM to 6 PM,Saturday,Closed,Sunday,12 PM to 6 PM,
Kadir telponent,Kadir Telponent,INVALID,,Fischelner Weg 34,41169,M. Gladbach,"Fischelner Weg 34, 41169, M. Gladbach, Germany",51.2055964,6.3326076,Hindu temple,,,,,,,,,,,,,,,,,,,,FALSE
Kamakshi Ambal Temple,Kamakshi Ambal Temple,,,Siegenbeckstraße 4-5,59071,Hamm,"Siegenbeckstraße 4-5, 59071, Hamm, Germany",51.687127,7.950987,Hindu temple,http://www.hinduistische-gemeinde-deutschland.de/,+49 2388 302223,info@hinduistische-gemeinde-deutschland.de,https://www.facebook.com/HammHinduTempel/,,Monday,"8 AM to 1 PM, 5 PM to 7 PM",Tuesday,"8 AM to 1 PM, 5 PM to 7 PM",Wednesday,"8 AM to 1 PM, 5 PM to 7 PM",Thursday,"8 AM to 1 PM, 5 PM to 7 PM",Friday,"8 AM to 1 PM, 5 PM to 7 PM",Saturday,"8 AM to 1 PM, 5 PM to 7 PM",Sunday,"8 AM to 1 PM, 5 PM to 7 PM",FALSE
Kanaka Durga temple,Kanaka Durga Temple,,,Gerberstraße 15,73230,Kirchheim unter Teck,"Gerberstraße 15, 73230, Kirchheim unter Teck, Germany",48.647688,9.447959,Hindu temple,,+49 02304 16721,,,,,,,,,,,,,,,,,,FALSE
Kochel am See,Kochel Am See,INVALID,,,,Kochel,"Kochel, Germany",47.6613886,11.3578892,Hindu temple,,Read more at: https://shaivam.org/temples-of-lord-shiva/hindu-temples-of-germany-hindu-kirchen-in-deutschland/#gsc.tab=0,,,,Monday,Open 24 hours,Tuesday,Open 24 hours,Wednesday,Open 24 hours,Thursday,Open 24 hours,Friday,Open 24 hours,Saturday,Open 24 hours,Sunday,Open 24 hours,FALSE
Kreuzung zum Glück,Kreuzung Zum Glück,INVALID,,Seeannerwiese 6,84036,Kumhausen,"Seeannerwiese 6, 84036, Kumhausen, Germany",48.4902533,12.1902716,Hindu temple,,,,,,,,,,,,,,,,,,,,TRUE
Krishna Temple leipzig,Krishna Temple,,Open only during events (updated on their website),Merseburger Straße 95,4177,Leipzig,"Merseburger Straße 95, 04177, Leipzig, Germany",51.33691,12.32794,Hindu temple,https://www.facebook.com/krishna.tempel.leipzig,,office@krishna-tempel-leipzig.de,https://www.facebook.com/krishna.tempel.leipzig,,Monday,Closed,Tuesday,Closed,Wednesday,Closed,Thursday,Closed,Friday,Closed,Saturday,3 PM to 7:30 PM,Sunday,Closed,FALSE
Krishna Temple ISKCON Munich,Krishna Temple Iskcon,,,Ostring 7,85614,Munich,"Ostring 7, 85614, Munich, Germany",48.081529,11.864991,Hindu temple,http://www.iskcon-muenchen.de/,+49 8091 5553504,info@iskcon-muenchen.de,https://www.facebook.com/iskconmuenchen,,Monday,"4:30 AM to 10 AM, 6:30 PM to 7:30 PM",Tuesday,"4:30 AM to 10 AM, 6:30 PM to 7:30 PM",Wednesday,"4:30 AM to 10 AM, 6:30 PM to 7:30 PM",Thursday,"4:30 AM to 10 AM, 6:30 PM to 7:30 PM",Friday,"4:30 AM to 10 AM, 6:30 PM to 7:30 PM",Saturday,"4:30 AM to 10 AM, 6:30 PM to 7:30 PM",Sunday,4:30 AM to 7:30 PM,FALSE
Kurinchikkumaran Temple und Kulturzentrum e.V.,Kurinchikkumaran Temple Und Kulturzentrum e.V.,,,Industriestraße 7,51643,Gummersbach,"Industriestraße 7, 51643, Gummersbach, Germany",51.022472,7.57301,Hindu temple,http://www.kurinchi.com/,+49 2261 5015964,info@kurinchi.com,https://www.facebook.com/srikurinchikumarantempel,,Monday,"10 AM to 1 PM, 6 PM to 8 PM",Tuesday,"10 AM to 1 PM, 6 PM to 8 PM",Wednesday,"10 AM to 1 PM, 6 PM to 8 PM",Thursday,"10 AM to 1 PM, 6 PM to 8 PM",Friday,"10 AM to 1 PM, 6 PM to 8 PM",Saturday,"10 AM to 1 PM, 6 PM to 8 PM",Sunday,"10 AM to 1 PM, 6 PM to 8 PM",FALSE
Lasse Korn,Lasse Korn,INVALID,,Bahnhofstraße 6B,64665,Alsbach-Hähnlein,"Bahnhofstraße 6B, 64665, Alsbach-Hähnlein, Germany",49.740453,8.6211925,Hindu temple,http://www.drneumayr.de/,,,,,,,,,,,,,,,,,,,TRUE
Lord Shree Jagannatha Chaturdha Murti(SJSG) at Sivaalayam Temple,Lord Shree Jagannatha Chaturdha Murti(Sjsg) At Sivaalayam Temple,,,Bodenseestraße 228,81243,Munich,"Bodenseestraße 228, 81243, Munich, Germany",48.143308,11.42529,Hindu temple,https://sivaalayam.org/,+49 17623593271,info@sivaalayam.de,,,Monday,"8 AM to 10 AM, 6 PM to 8 PM",Tuesday,"8 AM to 10 AM, 6 PM to 8 PM",Wednesday,"8 AM to 10 AM, 6 PM to 8 PM",Thursday,"8 AM to 10 AM, 6 PM to 8 PM",Friday,"8 AM to 10 AM, 6 PM to 8 PM",Saturday,"8 AM to 10 AM, 6 PM to 8 PM",Sunday,"8 AM to 10 AM, 6 PM to 8 PM",FALSE
Lünsberg Labradore,Lünsberg Labradore,UNSURE,,Ostendorfer Str. 16 a,46342,Velen,"Ostendorfer Str. 16 a, 46342, Velen, Germany",51.88423,6.91945,Hindu temple,http://luensberger-labradore.de/,+49 2863 9240967,ca-stovermann@t-online.de,,,,,,,,,,,,,,,,,FALSE
Manawa Bharti Temple,Manawa Bharti Temple,,,Lenaustraße 1,40470,Düsseldorf,"Lenaustraße 1, 40470, Düsseldorf, Germany",51.25186,6.822001,Hindu temple,http://www.manawabhartitemple.com/,+49 211 288492,info@manawabhartitemple.com,,https://instagram.com/manawabhartitemple,Monday,"9 AM to 12 PM, 5 PM to 7 PM",Tuesday,"9 AM to 12 PM, 5 PM to 7 PM",Wednesday,"9 AM to 12 PM, 5 PM to 7 PM",Thursday,"9 AM to 12 PM, 5 PM to 7 PM",Friday,"9 AM to 12 PM, 5 PM to 7 PM",Saturday,"9 AM to 12 PM, 5 PM to 7 PM",Sunday,"9 AM to 12 PM, 5 PM to 7 PM",FALSE
Marxdorfer-Wolfshunde Club e.V.,Marxdorfer-Wolfshunde Club e.V.,INVALID,,Senftenberger Str. 9,3103,Neu-Seeland,"Senftenberger Str. 9, 3103, Neu-Seeland, Germany",51.6052968,14.1289384,Hindu temple,,,,,,Monday,Closed,Tuesday,Closed,Wednesday,Closed,Thursday,Closed,Friday,Closed,Saturday,9 AM to 8 PM,Sunday,9 AM to 8 PM,FALSE
Murugan Temple,Murugan Temple,,,Blaschkoallee 48,12359,Berlin,"Blaschkoallee 48, 12359, Berlin, Germany",52.452752,13.444693,Hindu temple,http://blog.mayurapathy-murugan-berlin.com/,+49 30 6946900,,,,Monday,"7:30 AM to 12:30 PM, 4:30 PM to 7:30 PM",Tuesday,"7:30 AM to 12:30 PM, 4:30 PM to 7:30 PM",Wednesday,"7:30 AM to 12:30 PM, 4:30 PM to 7:30 PM",Thursday,"7:30 AM to 12:30 PM, 4:30 PM to 7:30 PM",Friday,"7:30 AM to 12:30 PM, 4:30 PM to 7:30 PM",Saturday,"7:30 AM to 12:30 PM, 4:30 PM to 7:30 PM",Sunday,"7:30 AM to 12:30 PM, 4:30 PM to 7:30 PM",FALSE
Mülheim Muthukumaraswamy Temple,Muthukumaraswamy Temple,,,Weselerstraße 120,45478,Mülheim an der Ruhr,"Weselerstraße 120, 45478, Mülheim an der Ruhr, Germany",51.435323,6.820412,Hindu temple,,+49 17645699356,,https://www.facebook.com/muthukumarasamyalayam.mulheim/,,,,,,,,,,,,,,,,
MUTHUMARIAMMAN TEMPLE,Muthumariamman Temple,,,Carl-Buderus-Straße 3A,30455,Hanover,"Carl-Buderus-Straße 3A, 30455, Hanover, Germany",52.350056,9.658169,Hindu temple,http://www.hindu-tempel-hannover.de/,+49 511 471149,kontakt@hindu-tempel-hannover.de,https://www.facebook.com/people/Hindu-Tempel-Hannover/61568839715989/#,http://instagram.com/hindu.tempel.hannover,Monday,"11 AM to 1 PM, 5 PM to 8 PM",Tuesday,"11 AM to 1 PM, 5 PM to 8 PM",Wednesday,"11 AM to 1 PM, 5 PM to 8 PM",Thursday,"11 AM to 1 PM, 5 PM to 8 PM",Friday,"11 AM to 1 PM, 5 PM to 8 PM",Saturday,"11 AM to 1 PM, 5 PM to 8 PM",Sunday,"11 AM to 1 PM, 5 PM to 8 PM",FALSE
Nagapooshani Ambaal Temple,Nagapooshani Ambaal Temple,,,Schlitzer Straße 4,60386,Frankfurt-Ost,"Schlitzer Straße 4, 60386, Frankfurt-Ost, Germany",50.12963,8.747958,Hindu temple,http://www.ammankovil.de/,+49 69 97945618,,,,Monday,6:30 PM to 8 PM,Tuesday,6:30 PM to 8 PM,Wednesday,6:30 PM to 8 PM,Thursday,6:30 PM to 8 PM,Friday,6:30 PM to 8 PM,Saturday,6:30 PM to 8 PM,Sunday,6:30 PM to 8 PM,FALSE
Narasimha Temple - Bhutabhrteshwarnath,Narasimha Temple (Bhutabhrteshwarnath),,,Am Geisberg 3,65321,Heidenrod,"Am Geisberg 3, 65321, Heidenrod, Germany",50.143719,7.992381,Hindu temple,https://www.instagram.com/bhutabhrteshwarnathmandir/?hl=en,+49 178 3204824,,,https://www.instagram.com/bhutabhrteshwarnathmandir/?hl=en,Monday,7 AM to 8 PM,Tuesday,7 AM to 8 PM,Wednesday,7 AM to 8 PM,Thursday,7 AM to 8 PM,Friday,7 AM to 8 PM,Saturday,7 AM to 8 PM,Sunday,7 AM to 8 PM,FALSE
Ohm Nava Sakthi Ambal Alayam,Ohm Nava Sakthi Ambal Alayam,,,Hohenhorst 98,48341,Altenberge,"Hohenhorst 98, 48341, Altenberge, Germany",52.017071,7.522467,Hindu temple,,+49 2509 386450,,,,Monday,Closed,Tuesday,6 PM to 7 PM,Wednesday,Closed,Thursday,Closed,Friday,Closed,Saturday,Closed,Sunday,Closed,FALSE
Radha Govinda Temple in Berlin,Radha Govinda Temple,,,Kopenhagener Straße 34,13407,Berlin,"Kopenhagener Straße 34, 13407, Berlin, Germany",52.576555,13.360951,Hindu temple,http://radha-govinda-tempel.com/,+49 30 238 88 397,kontakt@radha-govinda-tempel.com,https://www.facebook.com/Radha.Govinda.Tempel.Berlin,,Monday,6 AM to 7 PM,Tuesday,6 AM to 7 PM,Wednesday,6 AM to 7 PM,Thursday,6 AM to 7 PM,Friday,6 AM to 7 PM,Saturday,6 AM to 7 PM,Sunday,6 AM to 7 PM,FALSE
