name,note,street,postal_code,city,address,location_latitude,location_longitude,website,contact_phone,contact_email_id,contact_facebook,contact_instagram,opening_hours
Hari Om Temple,"Open only on Sundays, 
12:30 PM kirtan
14:30 PM Aarti",Kästlenstraße 32,81827,Munich,"Kästlenstraße 32, 81827, Munich, Germany",48.115177,11.695007,"[""https://hariomtemple.de""]","[""+49 17637543499"", ""+49 17626648218""]",,"[""https://www.facebook.com/Rajkharabanda""]",,"{""Monday"": ""Closed"", ""Tuesday"": ""Closed"", ""Wednesday"": ""Closed"", ""Thursday"": ""Closed"", ""Friday"": ""Closed"", ""Saturday"": ""Closed"", ""Sunday"": ""11:00\u201316:30""}"
Heilbronn Kanthasamy Kovil e.V.,,Siemensstraße 11,74177,Bad Friedrichshall,"Siemensstraße 11, 74177, Bad Friedrichshall, Germany",49.235585,9.217652,,"[""+49 7136 2706244""]","[""heilbronn.kanthasamykovil@gmail.com""]","[""https://www.facebook.com/p/Heilbronn-Kanthasamy-Kovil-eV-61550953688014""]",,"{""Monday"": ""17:00\u201319:00"", ""Tuesday"": ""17:00\u201320:00"", ""Wednesday"": ""17:00\u201318:00"", ""Thursday"": ""17:00\u201318:00"", ""Friday"": ""17:00\u201320:00"", ""Saturday"": ""17:00\u201318:00"", ""Sunday"": ""17:00\u201318:00""}"
Hindu Mandir,,Brolingstraße 51,23554,Lübeck,"Brolingstraße 51, 23554, Lübeck, Germany",53.877785,10.675355,,"[""+49 172 8949915""]",,,,"{""Monday"": ""11:00\u201315:00"", ""Tuesday"": ""Closed"", ""Wednesday"": ""Closed"", ""Thursday"": ""Closed"", ""Friday"": ""Closed"", ""Saturday"": ""11:00\u201315:00"", ""Sunday"": ""10:30\u201317:00""}"
Hindu Temple,,Billstraße 77,20539,Hamburg,"Billstraße 77, 20539, Hamburg, Germany",53.54148,10.04031,"[""https://www.hindutempel.eu""]","[""+49 40 78079292""]","[""info@hindutempel.eu"", ""vorstand@hindutempel.eu"", ""hindutempelhamburg@gmx.de""]",,,"{""Monday"": ""10:00\u201318:00"", ""Tuesday"": ""10:00\u201318:00"", ""Wednesday"": ""10:00\u201318:00"", ""Thursday"": ""10:00\u201318:00"", ""Friday"": ""10:00\u201318:00"", ""Saturday"": ""10:00\u201318:00"", ""Sunday"": ""10:00\u201318:00""}"
Hindugemeinde e.V.,,Kopenhagener Straße 34,13407,Berlin,"Kopenhagener Straße 34, 13407, Berlin, Germany",52.576555,13.360951,"[""http://www.hindu-gemeinde.de""]","[""+49 30 28096894""]",,,,"{""Monday"": ""08:00\u201317:00"", ""Tuesday"": ""08:00\u201317:00"", ""Wednesday"": ""08:00\u201317:00"", ""Thursday"": ""08:00\u201317:00"", ""Friday"": ""08:00\u201317:00"", ""Saturday"": ""08:00\u201317:00"", ""Sunday"": ""Closed""}"
Iskcon,,Zur Lutternschen Egge 85,32549,Bad Oeynhausen,"Zur Lutternschen Egge 85, 32549, Bad Oeynhausen, Germany",52.259404,8.80488,"[""https://govardhanadesh.de""]","[""+49 176 58880236""]","[""kontakt@govardhanadesh.de""]","[""https://www.facebook.com/IskconBadOeynhausen"", ""https://www.facebook.com/iskconBadOeynhausen""]",,"{""Monday"": ""Closed"", ""Tuesday"": ""Closed"", ""Wednesday"": ""Closed"", ""Thursday"": ""Closed"", ""Friday"": ""Closed"", ""Saturday"": ""Closed"", ""Sunday"": ""~12:30\u201318:00""}"
Iskcon,,Aarstraße 8,65329,Hohenstein,"Aarstraße 8, 65329, Hohenstein, Germany",50.197593,8.057995,"[""http://iskconwiesbaden.de""]","[""+49 6120 904107""]","[""iskcon.wiesbaden@gmail.com"", ""iskconwiesbaden@pamho.net""]","[""https://facebook.com/HariNamaDesh"", ""https://www.facebook.com/HariNamaDesh""]","[""https://www.instagram.com/iskcon.wiesbaden""]","{""Monday"": ""Closed"", ""Tuesday"": ""Closed"", ""Wednesday"": ""Closed"", ""Thursday"": ""Closed"", ""Friday"": ""Closed"", ""Saturday"": ""~15:00\u201320:00"", ""Sunday"": ""Closed""}"
Iskcon e.V. Bhakti Yoga Zentrum Gauradesh,,Taunusstraße 40,51105,Köln-Kalk,"Taunusstraße 40, 51105, Köln-Kalk, Germany",50.931733,6.99622,"[""http://www.gauradesh.com""]","[""+49 178 9213621""]","[""kontakt@gauradesh.com""]","[""https://www.facebook.com/BhaktiYogaZentrumGauradesh""]",,"{""Monday"": ""07:00\u201319:00"", ""Tuesday"": ""07:00\u201319:00"", ""Wednesday"": ""07:00\u201319:00"", ""Thursday"": ""07:00\u201319:00"", ""Friday"": ""07:00\u201319:00"", ""Saturday"": ""07:00\u201319:00"", ""Sunday"": ""07:00\u201319:00""}"
Iskcon Simhachalam Temple,,Zielberg 20,94118,Jandelsbrunn,"Zielberg 20, 94118, Jandelsbrunn, Germany",48.743048,13.706136,"[""http://www.simhachalam.de""]","[""+49 8583 316""]","[""info@simhachalam.de"", ""reservation.simhachalam@gmail.com""]","[""https://facebook.com/Simhachalam.de""]","[""https://www.instagram.com/simhachalam.de""]","{""Monday"": ""04:30\u201319:00"", ""Tuesday"": ""04:30\u201319:00"", ""Wednesday"": ""04:30\u201319:00"", ""Thursday"": ""04:30\u201319:00"", ""Friday"": ""04:30\u201319:00"", ""Saturday"": ""04:30\u201319:00"", ""Sunday"": ""04:30\u201319:00""}"
Iskcon Temple,,Kaiserstraße 26,63065,Offenbach,"Kaiserstraße 26, 63065, Offenbach, Germany",50.102967,8.759197,"[""https://iskcon-frankfurt.de""]","[""+49 1523 3648790""]","[""info@iskcon-frankfurt.de""]","[""https://www.facebook.com/iskcon.offenbach""]","[""https://www.instagram.com/iskcon_offenbach_frankfurt""]","{""Monday"": ""Closed"", ""Tuesday"": ""Closed"", ""Wednesday"": ""Closed"", ""Thursday"": ""Closed"", ""Friday"": ""Closed"", ""Saturday"": ""Closed"", ""Sunday"": ""10:00\u201317:00""}"
Jagannatha Temple Iskcon,,Berliner Allee 209,13088,Berlin,"Berliner Allee 209, 13088, Berlin, Germany",52.55691,13.466564,"[""http://tempelberlin.de""]",,,,,"{""Monday"": ""Closed"", ""Tuesday"": ""Closed"", ""Wednesday"": ""~18:30\u201320:00"", ""Thursday"": ""Closed"", ""Friday"": ""Closed"", ""Saturday"": ""~07:30\u201310:00, ~14:00\u201319:00"", ""Sunday"": ""~07:30\u201310:00""}"
Jyoti Maiyya Hindu Temple,,Volksparkstraße 81,22525,Hamburg,"Volksparkstraße 81, 22525, Hamburg, Germany",53.58979,9.91881,"[""https://www.jyoti-maiyya-tempel.de/index.php""]","[""+49 40 65916050""]","[""info@jyoti-maiyya-tempel.de""]",,,"{""Monday"": ""12:00\u201318:00"", ""Tuesday"": ""12:00\u201318:00"", ""Wednesday"": ""Closed"", ""Thursday"": ""12:00\u201318:00"", ""Friday"": ""12:00\u201318:00"", ""Saturday"": ""Closed"", ""Sunday"": ""12:00\u201318:00""}"
Kamakshi Ambal Temple,,Siegenbeckstraße 4-5,59071,Hamm,"Siegenbeckstraße 4-5, 59071, Hamm, Germany",51.687127,7.950987,"[""http://www.hinduistische-gemeinde-deutschland.de""]","[""+49 2388 302223""]","[""info@hinduistische-gemeinde-deutschland.de""]","[""https://www.facebook.com/HammHinduTempel""]",,"{""Monday"": ""08:00\u201313:00, 17:00\u201319:00"", ""Tuesday"": ""08:00\u201313:00, 17:00\u201319:00"", ""Wednesday"": ""08:00\u201313:00, 17:00\u201319:00"", ""Thursday"": ""08:00\u201313:00, 17:00\u201319:00"", ""Friday"": ""08:00\u201313:00, 17:00\u201319:00"", ""Saturday"": ""08:00\u201313:00, 17:00\u201319:00"", ""Sunday"": ""08:00\u201313:00, 17:00\u201319:00""}"
Kanaka Durga Temple,,Gerberstraße 15,73230,Kirchheim unter Teck,"Gerberstraße 15, 73230, Kirchheim unter Teck, Germany",48.647688,9.447959,,"[""+49 02304 16721""]",,,,
Krishna Temple,Open only during events (updated on their website),Merseburger Straße 95,04177,Leipzig,"Merseburger Straße 95, 04177, Leipzig, Germany",51.33691,12.32794,"[""https://www.facebook.com/krishna.tempel.leipzig""]",,"[""office@krishna-tempel-leipzig.de""]","[""https://www.facebook.com/krishna.tempel.leipzig""]",,"{""Monday"": ""Closed"", ""Tuesday"": ""Closed"", ""Wednesday"": ""Closed"", ""Thursday"": ""Closed"", ""Friday"": ""Closed"", ""Saturday"": ""~15:00\u201319:30"", ""Sunday"": ""Closed""}"
Krishna Temple Iskcon,,Ostring 7,85614,Munich,"Ostring 7, 85614, Munich, Germany",48.081529,11.864991,"[""http://www.iskcon-muenchen.de""]","[""+49 8091 5553504""]","[""info@iskcon-muenchen.de""]","[""https://www.facebook.com/iskconmuenchen""]",,"{""Monday"": ""04:30\u201310:00, 18:30\u201319:30"", ""Tuesday"": ""04:30\u201310:00, 18:30\u201319:30"", ""Wednesday"": ""04:30\u201310:00, 18:30\u201319:30"", ""Thursday"": ""04:30\u201310:00, 18:30\u201319:30"", ""Friday"": ""04:30\u201310:00, 18:30\u201319:30"", ""Saturday"": ""04:30\u201310:00, 18:30\u201319:30"", ""Sunday"": ""04:30\u201319:30""}"
Kurinchikkumaran Temple Und Kulturzentrum e.V.,,Industriestraße 7,51643,Gummersbach,"Industriestraße 7, 51643, Gummersbach, Germany",51.022472,7.57301,"[""http://www.kurinchi.com""]","[""+49 2261 5015964""]","[""info@kurinchi.com""]","[""https://www.facebook.com/srikurinchikumarantempel""]",,"{""Monday"": ""10:00\u201313:00, 18:00\u201320:00"", ""Tuesday"": ""10:00\u201313:00, 18:00\u201320:00"", ""Wednesday"": ""10:00\u201313:00, 18:00\u201320:00"", ""Thursday"": ""10:00\u201313:00, 18:00\u201320:00"", ""Friday"": ""10:00\u201313:00, 18:00\u201320:00"", ""Saturday"": ""10:00\u201313:00, 18:00\u201320:00"", ""Sunday"": ""10:00\u201313:00, 18:00\u201320:00""}"
Lord Shree Jagannatha Chaturdha Murti(Sjsg) At Sivaalayam Temple,,Bodenseestraße 228,81243,Munich,"Bodenseestraße 228, 81243, Munich, Germany",48.143308,11.42529,"[""https://sivaalayam.org""]","[""+49 17623593271""]","[""info@sivaalayam.de""]",,,"{""Monday"": ""08:00\u201310:00, 18:00\u201320:00"", ""Tuesday"": ""08:00\u201310:00, 18:00\u201320:00"", ""Wednesday"": ""08:00\u201310:00, 18:00\u201320:00"", ""Thursday"": ""08:00\u201310:00, 18:00\u201320:00"", ""Friday"": ""08:00\u201310:00, 18:00\u201320:00"", ""Saturday"": ""08:00\u201310:00, 18:00\u201320:00"", ""Sunday"": ""08:00\u201310:00, 18:00\u201320:00""}"
Manawa Bharti Temple,,Lenaustraße 1,40470,Düsseldorf,"Lenaustraße 1, 40470, Düsseldorf, Germany",51.25186,6.822001,"[""http://www.manawabhartitemple.com""]","[""+49 211 288492""]","[""info@manawabhartitemple.com""]",,"[""https://instagram.com/manawabhartitemple""]","{""Monday"": ""09:00\u201312:00, 17:00\u201319:00"", ""Tuesday"": ""09:00\u201312:00, 17:00\u201319:00"", ""Wednesday"": ""09:00\u201312:00, 17:00\u201319:00"", ""Thursday"": ""09:00\u201312:00, 17:00\u201319:00"", ""Friday"": ""09:00\u201312:00, 17:00\u201319:00"", ""Saturday"": ""09:00\u201312:00, 17:00\u201319:00"", ""Sunday"": ""09:00\u201312:00, 17:00\u201319:00""}"
Murugan Temple,,Blaschkoallee 48,12359,Berlin,"Blaschkoallee 48, 12359, Berlin, Germany",52.452752,13.444693,"[""http://blog.mayurapathy-murugan-berlin.com""]","[""+49 30 6946900""]",,,,"{""Monday"": ""07:30\u201312:30, 16:30\u201319:30"", ""Tuesday"": ""07:30\u201312:30, 16:30\u201319:30"", ""Wednesday"": ""07:30\u201312:30, 16:30\u201319:30"", ""Thursday"": ""07:30\u201312:30, 16:30\u201319:30"", ""Friday"": ""07:30\u201312:30, 16:30\u201319:30"", ""Saturday"": ""07:30\u201312:30, 16:30\u201319:30"", ""Sunday"": ""07:30\u201312:30, 16:30\u201319:30""}"
Muthukumaraswamy Temple,,Weselerstraße 120,45478,Mülheim an der Ruhr,"Weselerstraße 120, 45478, Mülheim an der Ruhr, Germany",51.435323,6.820412,,"[""+49 17645699356""]",,"[""https://www.facebook.com/muthukumarasamyalayam.mulheim""]",,
Muthumariamman Temple,,Carl-Buderus-Straße 3A,30455,Hanover,"Carl-Buderus-Straße 3A, 30455, Hanover, Germany",52.350056,9.658169,"[""http://www.hindu-tempel-hannover.de""]","[""+49 511 471149""]","[""kontakt@hindu-tempel-hannover.de""]","[""https://www.facebook.com/people/Hindu-Tempel-Hannover/61568839715989/#""]","[""http://instagram.com/hindu.tempel.hannover""]","{""Monday"": ""11:00\u201313:00, 17:00\u201320:00"", ""Tuesday"": ""11:00\u201313:00, 17:00\u201320:00"", ""Wednesday"": ""11:00\u201313:00, 17:00\u201320:00"", ""Thursday"": ""11:00\u201313:00, 17:00\u201320:00"", ""Friday"": ""11:00\u201313:00, 17:00\u201320:00"", ""Saturday"": ""11:00\u201313:00, 17:00\u201320:00"", ""Sunday"": ""11:00\u201313:00, 17:00\u201320:00""}"
Nagapooshani Ambaal Temple,,Schlitzer Straße 4,60386,Frankfurt-Ost,"Schlitzer Straße 4, 60386, Frankfurt-Ost, Germany",50.12963,8.747958,"[""http://www.ammankovil.de""]","[""+49 69 97945618""]",,,,"{""Monday"": ""18:30\u201320:00"", ""Tuesday"": ""18:30\u201320:00"", ""Wednesday"": ""18:30\u201320:00"", ""Thursday"": ""18:30\u201320:00"", ""Friday"": ""18:30\u201320:00"", ""Saturday"": ""18:30\u201320:00"", ""Sunday"": ""18:30\u201320:00""}"
Narasimha Temple (Bhutabhrteshwarnath),,Am Geisberg 3,65321,Heidenrod,"Am Geisberg 3, 65321, Heidenrod, Germany",50.143719,7.992381,"[""https://www.instagram.com/bhutabhrteshwarnathmandir/?hl=en""]","[""+49 178 3204824""]",,,"[""https://www.instagram.com/bhutabhrteshwarnathmandir/?hl=en""]","{""Monday"": ""07:00\u201320:00"", ""Tuesday"": ""07:00\u201320:00"", ""Wednesday"": ""07:00\u201320:00"", ""Thursday"": ""07:00\u201320:00"", ""Friday"": ""07:00\u201320:00"", ""Saturday"": ""07:00\u201320:00"", ""Sunday"": ""07:00\u201320:00""}"
Ohm Nava Sakthi Ambal Alayam,,Hohenhorst 98,48341,Altenberge,"Hohenhorst 98, 48341, Altenberge, Germany",52.017071,7.522467,,"[""+49 2509 386450""]",,,,"{""Monday"": ""Closed"", ""Tuesday"": ""~18:00\u201319:00"", ""Wednesday"": ""Closed"", ""Thursday"": ""Closed"", ""Friday"": ""Closed"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}"
Radha Govinda Temple,,Kopenhagener Straße 34,13407,Berlin,"Kopenhagener Straße 34, 13407, Berlin, Germany",52.576555,13.360951,"[""http://radha-govinda-tempel.com""]","[""+49 30 238 88 397""]","[""kontakt@radha-govinda-tempel.com""]","[""https://www.facebook.com/Radha.Govinda.Tempel.Berlin""]",,"{""Monday"": ""06:00\u201319:00"", ""Tuesday"": ""06:00\u201319:00"", ""Wednesday"": ""06:00\u201319:00"", ""Thursday"": ""06:00\u201319:00"", ""Friday"": ""06:00\u201319:00"", ""Saturday"": ""06:00\u201319:00"", ""Sunday"": ""06:00\u201319:00""}"
Rheineechchuram Shivaistischer Hindu Temple,,Haselweg 13,48429,Rheine,"Haselweg 13, 48429, Rheine, Germany",52.303979,7.456314,,"[""+49 17679878458"", ""+49 1525 4163657""]",,"[""https://www.facebook.com/people/%E0%AE%87%E0%AE%B1%E0%AF%88%E0%AE%A9%E0%AF%80%E0%AE%9A%E0%AF%8D%E0%AE%9A%E0%AF%81%E0%AE%B0%E0%AE%AE%E0%AF%8D-%E0%AE%9A%E0%AE%BF%E0%AE%B5%E0%AE%A9%E0%AF%8D%E0%AE%95%E0%AF%8B%E0%AE%AF%E0%AE%BF%E0%AE%B2%E0%AF%8D-%E0%AE%87%E0%AE%B1%E0%AF%88%E0%AE%A9%E0%AF%87-Rheineechchuram-Sivan-Tempel-Rheine/100071917157813""]",,
Shirdi Sai Baba Temple,,Anton-Burger-Weg 44,60599,Frankfurt-Süd,"Anton-Burger-Weg 44, 60599, Frankfurt-Süd, Germany",50.089232,8.705105,"[""http://shirdisaibabatemple-frankfurtgermany.com""]","[""+49 69 68600058""]",,,,"{""Monday"": ""Closed"", ""Tuesday"": ""Closed"", ""Wednesday"": ""Closed"", ""Thursday"": ""~19:00\u201320:00"", ""Friday"": ""Closed"", ""Saturday"": ""~17:00\u201319:00"", ""Sunday"": ""Closed""}"
Shri Sithi Vinayagar Tempel e.V.,,Schaffhauser Straße 173,78224,Singen,"Schaffhauser Straße 173, 78224, Singen, Germany",47.753215,8.818735,"[""http://www.singenvinayagar.com""]","[""+49 176 13638011""]","[""mail@singenvinayagar.com""]","[""http://Facebook.com/SingenVinayagar""]","[""https://www.instagram.com/singenshrisithivinayagar""]","{""Monday"": ""18:00\u201319:00"", ""Tuesday"": ""17:00\u201320:00"", ""Wednesday"": ""18:00\u201319:00"", ""Thursday"": ""18:00\u201319:00"", ""Friday"": ""17:00\u201320:00"", ""Saturday"": ""18:00\u201319:00"", ""Sunday"": ""18:00\u201319:00""}"
Shri Thenupurisvarar Temple,,Argonnenstraße 9,88250,Weingarten,"Argonnenstraße 9, 88250, Weingarten, Germany",47.814541,9.637282,"[""https://www.instagram.com/shivankovil.rv?igsh=MXUzb3RsbWcxNmhrcQ==""]","[""+49 160 6350651""]",,,,"{""Monday"": ""18:00\u201321:00"", ""Tuesday"": ""18:00\u201321:00"", ""Wednesday"": ""18:00\u201321:00"", ""Thursday"": ""18:00\u201321:00"", ""Friday"": ""18:00\u201321:00"", ""Saturday"": ""18:00\u201321:00"", ""Sunday"": ""18:00\u201321:00""}"
Sivaalayam,,Bodenseestraße 228,81243,Munich,"Bodenseestraße 228, 81243, Munich, Germany",48.143525,11.425042,"[""http://sivaalayam.org""]","[""+49 1573 8166156""]",,,"[""https://www.instagram.com/sivaalayam""]","{""Monday"": ""08:00\u201310:00, 18:00\u201320:00"", ""Tuesday"": ""08:00\u201310:00, 18:00\u201320:00"", ""Wednesday"": ""08:00\u201310:00, 18:00\u201320:00"", ""Thursday"": ""08:00\u201310:00, 18:00\u201320:00"", ""Friday"": ""08:00\u201310:00, 18:00\u201320:00"", ""Saturday"": ""08:00\u201310:00, 18:00\u201320:00"", ""Sunday"": ""08:00\u201310:00, 18:00\u201320:00""}"
Sivan Temple Dortmund e.V. Hindu Temple,,Kieferstraße 24,44225,Hombruch,"Kieferstraße 24, 44225, Hombruch, Germany",51.472321,7.433276,"[""http://www.sivantempel-dortmund.de""]","[""+49 231 72515165""]","[""info@sivantempel-dortmund.de""]","[""https://www.facebook.com/SivanTempel.de""]","[""https://www.instagram.com/sivan_tempeldortmund""]",
Sri Bala Murugan Temple,,Benzstraße 7,71701,Schwieberdingen,"Benzstraße 7, 71701, Schwieberdingen, Germany",48.88071,9.078295,,"[""+49 163 9677709""]",,,,"{""Monday"": ""18:00\u201320:30"", ""Tuesday"": ""18:00\u201320:30"", ""Wednesday"": ""18:00\u201320:30"", ""Thursday"": ""18:00\u201320:30"", ""Friday"": ""18:00\u201320:30"", ""Saturday"": ""18:00\u201320:30"", ""Sunday"": ""18:00\u201320:30""}"
Sri Durgaparameshwari Temple,,Alleenstraße 18,73230,Kirchheim unter Teck,"Alleenstraße 18, 73230, Kirchheim unter Teck, Germany",48.647438,9.448032,"[""https://www.hinduistische-gemeinde-deutschland.de""]","[""+49 7021 8074399""]","[""info@hinduistische-gemeinde-deutschland.de""]",,,"{""Monday"": ""Closed"", ""Tuesday"": ""~18:00\u201321:00"", ""Wednesday"": ""Closed"", ""Thursday"": ""Closed"", ""Friday"": ""~18:00\u201321:00"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}"
Sri Ganesh Hindu Gemeinde e.V.,,Alter Damm 15,30419,Hanover,"Alter Damm 15, 30419, Hanover, Germany",52.428013,9.651292,"[""http://www.ganeshtemplehannover.de""]","[""+49 174 7770661""]","[""k.kurukkal@t-online.de"", ""info@amman-tempel-hannover.de""]","[""https://www.facebook.com/pages/category/Community/Navasakthi-Ganapathi-Temple-Hannover-1467655600193237""]",,"{""Monday"": ""18:00\u201319:30"", ""Tuesday"": ""18:00\u201319:30"", ""Wednesday"": ""18:00\u201319:30"", ""Thursday"": ""18:00\u201319:30"", ""Friday"": ""18:00\u201320:00"", ""Saturday"": ""18:00\u201319:30"", ""Sunday"": ""18:00\u201319:30""}"
Sri Ganesha Hindu Tempel e.V.,,Hasenheide 106,10967,Berlin,"Hasenheide 106, 10967, Berlin, Germany",52.486768,13.42079,"[""https://www.hindutempleberlin.de""]","[""+49 1511 9311085""]","[""info@hindutempleberlin.de""]","[""https://www.facebook.com/SGHTBERLIN""]",,
Sri Hindu Mandir Hamburg e.V.,,Eiffestraße 424,20537,Hamburg,"Eiffestraße 424, 20537, Hamburg, Germany",53.552242,10.045068,,"[""+49 40 24827158""]",,"[""https://www.facebook.com/groups/284866318551211""]","[""https://www.instagram.com/sri_hindu_mandir_hamburg?igsh=YjhyemM1eDkycW82""]","{""Monday"": ""10:00\u201319:00"", ""Tuesday"": ""10:00\u201319:00"", ""Wednesday"": ""10:00\u201319:00"", ""Thursday"": ""10:00\u201319:00"", ""Friday"": ""10:00\u201319:00"", ""Saturday"": ""10:00\u201319:00"", ""Sunday"": ""10:00\u201319:00""}"
Sri Jeyaveera Anjaneyar Temple,,Wilhelmstraße 35,44575,Castrop-Rauxel,"Wilhelmstraße 35, 44575, Castrop-Rauxel, Germany",51.555806,7.315373,,"[""+49 2305 998296""]",,,,"{""Monday"": ""Closed"", ""Tuesday"": ""Closed"", ""Wednesday"": ""Closed"", ""Thursday"": ""~18:00\u201320:00"", ""Friday"": ""Closed"", ""Saturday"": ""Closed"", ""Sunday"": ""09:00\u201316:00""}"
